node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,sahur,4,algeria,unknown,arabculture,1
2,time,3,algeria,unknown,arabculture,1
3,pre-wedding rituals,4,algeria,unknown,arabculture,1
4,special events,2,algeria,unknown,arabculture,1
5,خروج العروس,4,algeria,unknown,arabculture,1
6,العادات والتقاليد,2,algeria,unknown,arabculture,1
7,ارتداء,4,algeria,unknown,arabculture,1
8,رمز مدرسي إجباري,3,algeria,unknown,arabculture,1
9,communication techniques,3,algeria,unknown,arabculture,1
10,mother,2,algeria,unknown,arabculture,2
11,children,2,algeria,unknown,arabculture,3
12,before burial,4,algeria,unknown,arabculture,1
13,dفن,2,algeria,unknown,arabculture,1
14,دفن,2,algeria,unknown,arabculture,1
15,الدفن مهمة مقدسة و محترمة لوداع الميت و دفنه و حضورها مستحب لما فيه من حسنات و دعاء للميت,2,algeria,unknown,arabculture,1
16,algeria,3,algeria,unknown,arabculture,4
17,actions of parents during a child's illness,2,algeria,unknown,arabculture,1
18,caring,3,algeria,unknown,arabculture,1
19,cleaning,4,algeria,unknown,arabculture,1
20,diwali,2,algeria,unknown,arabculture,2
21,islamic instructions,4,algeria,unknown,arabculture,1
22,burial practices,3,algeria,unknown,arabculture,1
23,мерاسم الدفن,4,algeria,unknown,arabculture,1
24,مراسم الدفن,2,algeria,unknown,arabculture,1
25,موروثات شمال أفريقيا,2,algeria,unknown,arabculture,1
26,orth,2,algeria,unknown,arabculture,1
27,criteria,2,algeria,unknown,arabculture,1
28,local traditional songs,2,algeria,unknown,arabculture,1
29,local dances,2,algeria,unknown,arabculture,1
30,egypt,3,egypt,unknown,arabculture,1
31,serving sherbet,4,egypt,unknown,arabculture,1
32,parents,4,egypt,unknown,arabculture,1
33,children,3,egypt,unknown,arabculture,1
34,swing,3,egypt,unknown,arabculture,1
35,swinging children on swings,2,egypt,unknown,arabculture,1
36,children,4,egypt,unknown,arabculture,2
37,bily,3,egypt,unknown,arabculture,1
38,children playing,2,egypt,unknown,arabculture,1
39,jitzman,3,egypt,unknown,arabculture,1
40,qabr,3,egypt,unknown,arabculture,1
41,islamic,4,egypt,unknown,arabculture,1
42,sharia,3,egypt,unknown,arabculture,1
43,france,4,egypt,unknown,arabculture,1
44,musical groups,2,egypt,unknown,arabculture,1
45,amal,2,egypt,unknown,arabculture,1
46,proverb,3,egypt,unknown,arabculture,1
47,chimney sweep,4,egypt,unknown,arabculture,1
48,candle,3,egypt,unknown,arabculture,3
49,pedana kalamkari,4,andhra pradesh,unknown,diwali,1
50,machilipatnam style,3,andhra pradesh,unknown,diwali,1
51,intricate designs and natural color palette,2,andhra pradesh,unknown,diwali,1
52,srikalahasti kalamkari,4,andhra pradesh,unknown,diwali,1
53,hand-painted designs,3,andhra pradesh,unknown,diwali,1
54,tangsa lungis,3,arunachal pradesh,unknown,diwali,1
55,tangsa bags,3,arunachal pradesh,unknown,diwali,1
56,distinct patterns and colors,2,arunachal pradesh,unknown,diwali,1
57,nyishi textile,3,arunachal pradesh,unknown,diwali,1
58,distinctive patterns and colors,4,arunachal pradesh,unknown,diwali,1
59,eri silk,3,assam,unknown,diwali,4
60,soft,4,assam,unknown,diwali,1
61,warm,4,assam,unknown,diwali,1
62,durable,4,assam,unknown,diwali,1
63,ahimsa silk,4,assam,unknown,diwali,1
64,mekhela chador,3,assam,unknown,diwali,1
65,intricate designs,4,assam,unknown,diwali,8
66,riha,3,assam,unknown,diwali,1
67,dhokona,3,assam,unknown,diwali,1
68,handwoven,4,assam,unknown,diwali,1
69,karbi shawl,3,assam,unknown,diwali,1
70,bright colors and unique patterns,4,assam,unknown,diwali,1
71,sujani embroidery,4,bihar,unknown,diwali,1
72,quilts and bedspreads,3,bihar,unknown,diwali,1
73,chaapa sarees,3,bihar,unknown,diwali,1
74,bawan buti weave,3,bihar,unknown,diwali,1
75,richly patterned textile,3,bihar,unknown,diwali,1
76,aal-dyed handloom fabrics,4,chhattisgarh,unknown,diwali,1
77,kunbi saree,4,goa,unknown,diwali,1
78,checkered patterns,3,goa,unknown,diwali,1
79,goan crochet,3,goa,unknown,diwali,1
80,embroidery,3,goa,unknown,diwali,3
81,intricate designs,2,goa,unknown,diwali,3
82,altar cloths,3,goa,unknown,diwali,1
83,liturgical vestments,3,goa,unknown,diwali,1
84,goa,3,goa,unknown,diwali,1
85,handloom fabrics,4,goa,unknown,diwali,1
86,coastal heritage and cultural diversity,2,goa,unknown,diwali,1
87,patola,4,gujarat,unknown,diwali,1
88,double ikat woven sarees,3,gujarat,unknown,diwali,1
89,ajrakh textiles,3,gujarat,unknown,diwali,1
90,rich colors and symmetrical designs,4,gujarat,unknown,diwali,1
91,phulkari,4,haryana,unknown,diwali,2
92,flower work,2,haryana,unknown,diwali,1
93,khes,3,haryana,unknown,diwali,2
94,diwali,3,haryana,unknown,diwali,10
95,coarse cotton and geometric patterns,2,haryana,unknown,diwali,1
96,panja dhurrie,4,haryana,unknown,diwali,1
97,dhurrie,3,haryana,unknown,diwali,1
