source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
2,3,game,well-known,are,1,arabculture
5,6,dance,algerian cultural heritage,are_part_of,1,arabculture
9,10,meat distribution,eid al-adha celebrations,part_of,1,arabculture
18,19,jikir and jari,islamic devotional songs and dances,are,1,diwali
20,21,performers,couple,are,1,diwali
25,26,military alphabet,time system,part_of,1,culturebank
27,4,adjusting temperature,algeria,part_of,1,culturebank
28,29,investing in fans,summer lifestyle,part_of,1,culturebank
30,4,acclimatizing to heat,algeria,part_of,1,culturebank
31,32,picking berries,activities,part_of,1,culturebank
34,4,pregnancy ceremony,algeria,part_of,1,blend
35,4,track and field events,algeria,are_part_of,1,blend
36,37,ramadan,popular in algeria,are,1,blend
39,40,nurse,responsible,are,1,candle
41,39,midwife,nurse,is_part_of,1,candle
42,43,round,nurse's duty,part_of,1,candle
45,4,elephant,algeria,part_of,1,candle
46,47,pre-performance,ritual,is_part_of,1,candle
48,49,plea-bargain,daily practice,is_part_of,1,candle
50,51,attorney,planning,part_of,1,candle
54,55,receptionist,healthcare practice,part_of,1,candle
