node_id,label,level,cultural_group,domain,source_dataset,frequency
0,human,0,universal,identity,schema,1
1,ramadan,1,algeria,unknown,arabculture,1
2,dish,3,algeria,unknown,arabculture,1
3,handloom silk sarees,3,andhra pradesh,unknown,diwali,1
4,blouse material,3,karnataka,unknown,diwali,1
5,dance,1,andhra pradesh,unknown,diwali,7
6,dance-drama,3,andhra pradesh,unknown,diwali,2
7,ritualistic dance,3,andhra pradesh,unknown,diwali,1
8,algeria,1,andhra pradesh,unknown,diwali,1
9,ritual dance,3,chhattisgarh,unknown,diwali,1
10,yellow mustard,3,general,unknown,culturebank,1
11,fast-food,3,dz,unknown,blend,1
12,restaurant,2,dz,unknown,blend,1
13,cleaning,2,dentist,unknown,candle,2
