source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
1,2,morning,algeria,marks,1,arabculture
3,2,friday lunch,algeria,marks_occasion,1,arabculture
4,5,lailat al-milad,birth of prophet muhammad,marks,1,arabculture
6,7,commemoration,memories of martyrs,marks,1,arabculture
9,10,independence day,national liberation,marks,1,arabculture
12,13,food preparation,religious festival,marks,1,arabculture
14,15,prayers,islamic holidays,mark,1,arabculture
16,17,prayer,new abaya purchases,mark,1,arabculture
19,20,sham el-nessim,spring equinox,marks,1,arabculture
22,23,ramadan,islamic month,marks,1,arabculture
24,25,iftar,end of fast,marks,1,arabculture
22,24,ramadan,iftar,marks,1,arabculture
26,22,eid al-fitr,ramadan,marks,2,arabculture
27,28,sixth hour,morning start,marks,1,arabculture
29,30,first visit,exchange gifts,occasion_for,1,arabculture
31,32,deori bihu dance,rongali bihu festival,marks,1,diwali
2,37,algeria,birth of a child,marks,1,blend
38,39,evening meal,start of leisure,marks,1,blend
2,41,algeria,papers,marks,1,candle
