source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
1,2,chickpea stew,food,served_for,1,arabculture
3,4,ramadan,north africa,celebrated_in,1,arabculture
2,5,food,algeria,observed_by,2,arabculture
5,6,algeria,local delicacy,serves,1,arabculture
3,7,ramadan,eid al-adha,celebrates,1,arabculture
2,4,food,north africa,celebrated_in,1,arabculture
8,9,ritual,at home,occur_in,1,arabculture
10,11,nile valley,dignified ceremony,performs,1,arabculture
12,4,cultural practice,north africa,performed_in,1,arabculture
5,13,algeria,the night of tadbir,occurs_on,1,arabculture
5,14,algeria,customer,observe,1,arabculture
12,4,cultural practice,north africa,occurs_in,1,arabculture
2,15,food,cake with additions,serves,1,arabculture
2,16,food,some foods,served_with,1,arabculture
7,5,eid al-adha,algeria,celebrated_by,6,arabculture
5,17,algeria,in eid al-fitr,observe_traditions,1,arabculture
5,7,algeria,eid al-adha,observe_traditions,1,arabculture
7,4,eid al-adha,north africa,celebrated_in,1,arabculture
5,18,algeria,mawlid al-nabi,celebrate,1,arabculture
18,5,mawlid al-nabi,algeria,observed_by,1,arabculture
5,2,algeria,food,celebrate,7,arabculture
2,4,food,north africa,occur_in,1,arabculture
5,7,algeria,eid al-adha,celebrate,1,arabculture
14,19,customer,first muharram,occur_on,1,arabculture
2,20,food,january 1st,occurs_on,1,arabculture
14,2,customer,food,occur_during,1,arabculture
2,21,food,annually,occur,1,arabculture
2,22,food,annually on may 8,occur,1,arabculture
23,5,action,algeria,performed_by,1,arabculture
5,24,algeria,leisure activities,preserves,1,arabculture
25,26,music instruments,festivals and events,used_during,1,arabculture
27,28,algorithms musical instruments,some celebrations,used_during,1,arabculture
5,29,algeria,musical instruments,celebrate_with,1,arabculture
5,30,algeria,dance,perform,1,arabculture
8,5,ritual,algeria,occur,1,arabculture
30,4,dance,north africa,performed_in,1,arabculture
31,2,cultivation,food,occurs,1,arabculture
32,33,fava beans,breakfast,served_at,1,arabculture
34,3,roasted chicken,ramadan,served_for,1,arabculture
2,10,food,nile valley,served_in,1,arabculture
35,2,qatayef,food,served_with,1,arabculture
36,37,potato chips,playtime,served_during,1,arabculture
2,38,food,solo dance,perform,1,arabculture
30,39,dance,twice initially,occur,1,arabculture
5,40,algeria,prayer after dawn,perform,1,arabculture
41,10,university students,nile valley,observed_in,1,arabculture
41,10,university students,nile valley,celebrated_in,1,arabculture
42,5,sham al-nisim,algeria,celebrated_by,3,arabculture
5,43,algeria,fisk and rinega on sham el-nessim,celebrate_with,1,arabculture
5,2,algeria,food,celebrate_with,5,arabculture
8,10,ritual,nile valley,performed_in,1,arabculture
42,10,sham al-nisim,nile valley,occur_in,1,arabculture
5,3,algeria,ramadan,celebrate,1,arabculture
5,44,algeria,tahtheeb dance,perform,1,arabculture
2,45,food,mawalid and gatherings,occur_at,1,arabculture
46,47,cotton harvest,autumn,occurs_during,1,arabculture
48,2,young siblings,food,perform,1,arabculture
32,2,fava beans,food,served_for,1,arabculture
50,2,samaah al-raqiq,food,performs,1,arabculture
2,51,food,iftar dish,serves_as,1,arabculture
2,52,food,suhour table,served_on,1,arabculture
