source_id,target_id,source_label,target_label,relation_type,weight,source_dataset
1,2,mangalagiri cotton,mangalagiri town,originates from,1,diwali
3,4,uppada silk,uppada village,originates from,1,diwali
5,6,srikalahasti kalamkari,srikalahasti,originates from,1,diwali
7,8,muga silk,assam,originates from,1,diwali
9,10,bhagalpuri silk,bhagalpur,originates from,1,diwali
11,12,madhubani painting,mithila region,originates from,1,diwali
13,14,chamba rumal,chamba region,originates from,2,diwali
15,16,rampur chaddar,rampur,originates from,1,diwali
17,18,ilkal saree,ilkal,originates from,1,diwali
19,20,navalgund durries,navalgund,originates from,1,diwali
21,22,guledgudda khana,guledgudda,originates from,1,diwali
23,25,balaramapuram handloom,balaramapuram region,originates from,1,diwali
26,27,thiruvananthapuram saree,thiruvananthapuram,originates from,1,diwali
28,29,chanderi saree,chanderi,originates from,1,diwali
30,31,nandana print,malwa region,originates from,1,diwali
32,33,paithani saree,aurangabad,originates from,1,diwali
34,35,narayan peth sari,narayan peth,originates from,1,diwali
36,38,bomkai saree,sonepuri district,originates from,1,diwali
39,40,kotpad handloom,tribal regions of koraput,originates from,1,diwali
41,42,pipili appliqué work,pipili,originates from,1,diwali
44,43,salwar kameez,punjab,originates from,1,diwali
45,47,bandhani,rajasthan,originates from,1,diwali
48,49,sanganeri block print,sanganer,originates from,1,diwali
50,52,madurai sungudi,madurai,originates from,1,diwali
53,54,kumbakonam silk saree,tamil nadu,originates from,1,diwali
55,56,pochampally ikat,bhoodan pochampally,originates from,1,diwali
57,58,siddipet gollabhama sarees,siddipet,originates from,1,diwali
59,60,banarasi sari,varanasi,originates from,1,diwali
61,60,tanchoi,varanasi,originates from,1,diwali
62,63,baluchari sari,baluchar,originates from,1,diwali
44,65,salwar kameez,punjab region,originates from,1,diwali
66,67,kani shawl,kanihama,originates from,1,diwali
68,69,sambha calico prints,sambha,originates from,1,diwali
70,71,palampore prints,india,originates from,1,diwali
72,73,burrakatha,jangam katha,originates from,1,diwali
74,75,bhagavata mela,kuchipudi,originates from,1,diwali
76,77,umbrella,latin word 'umbra',originates from,1,culturebank
24,78,diwali,algeria,originates from,4,blend
79,78,festivals,algeria,originates from,1,blend
